3M Company,3M,MMM
Wells Fargo,WellsFargo,WFC
Western Union Co,WesternUnion,WU
Whole Foods Market,WholeFoods,WFM
Xerox ,Xerox,XRX
Yahoo ,Yahoo ,YHOO
Yum! Brands ,yumbrands,YUM
Twilio,twilio,YUM
AMD,AMD,AMD
IBM,IBM,IBM
BOX,BOX,BOX
TESLA,TeslaMotors,TSLA
GoPro,GoPro,GPRO
Verizon,Verizon,VZ
